"","timestampMs","latitudeE7","longitudeE7","accuracy","Timestamp"
"4359",1536826978068,51.3767473,-0.0960061,13,2018-09-13 09:22:58
"4381",1536827506966,51.3758411,-0.1000165,27,2018-09-13 09:31:46
"4382",1536827643074,51.376628,-0.1004344,15,2018-09-13 09:34:03
"4385",1536827895706,51.3783076,-0.1004249,15,2018-09-13 09:38:15
"4386",1536828016432,51.3775136,-0.10109,15,2018-09-13 09:40:16
"4387",1536828149770,51.3764312,-0.1017336,14,2018-09-13 09:42:29
"4404",1536828638007,51.376781,-0.1017992,15,2018-09-13 09:50:38
"4405",1536828758131,51.3774517,-0.1010657,17,2018-09-13 09:52:38
"4406",1536828849820,51.3774776,-0.101046,25,2018-09-13 09:54:09
"4419",1536828879906,51.3774005,-0.101042,12,2018-09-13 09:54:39
"4431",1536828920341,51.3773583,-0.1010202,14,2018-09-13 09:55:20
"4443",1536828962975,51.3774349,-0.1010788,23,2018-09-13 09:56:02
"4480",1536829464195,51.3786454,-0.098423,28,2018-09-13 10:04:24
"4627",1536831332177,51.3783837,-0.0983536,15,2018-09-13 10:35:32
"4628",1536831484087,51.3783837,-0.0983536,15,2018-09-13 10:38:04
"4629",1536831611109,51.3783837,-0.0983536,15,2018-09-13 10:40:11
"4630",1536831663135,51.3783827,-0.0983345,14,2018-09-13 10:41:03
"4631",1536831804311,51.3783827,-0.0983345,14,2018-09-13 10:43:24
"4641",1536831934791,51.3783827,-0.0983345,14,2018-09-13 10:45:34
"4642",1536831974116,51.3784139,-0.0983476,14,2018-09-13 10:46:14
